N,p,sigma,theta,tmin,tmax,Dt,it_brownian,it_network,p_WS,r
1000,0.5,0.1,0.005,0.0,0.5,0.01,1,2,0.4,20
1000,0.5,0.1,0.006500000000000001,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.008,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.009500000000000001,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.011000000000000001,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.0125,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.014000000000000002,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.015500000000000003,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.017,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.018500000000000003,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.020000000000000004,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.021000000000000005,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.022950000000000005,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.024900000000000005,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.026850000000000006,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.028800000000000006,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.030750000000000006,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.03270000000000001,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.03465000000000001,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.03660000000000001,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.03855000000000001,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.04050000000000001,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.04245000000000001,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.04440000000000001,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.04635000000000001,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.04830000000000001,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.05025000000000001,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.05220000000000001,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.05415000000000001,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.05610000000000001,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.05805000000000001,0.0,1000,0.01,3,5,0.4,20
1000,0.5,0.1,0.06000000000000001,0.0,1000,0.01,3,5,0.4,20
